typedAnswer,multiplyRT,multiplyCorr,problem,OperandType,productType,participant,group
6,1.4829,1,3 x 2 =,largeFirst,smallProd,652,ACB
48,2.4488,1,6 x 8 =,smallFirst,largeProd,652,ACB
54,2.2992,0,7 x 6 =,largeFirst,largeProd,652,ACB
15,1.8664,1,3 x 5 =,smallFirst,smallProd,652,ACB
10,1.1327,1,5 x 2 =,largeFirst,smallProd,652,ACB
18,1.6165,1,6 x 3 =,largeFirst,smallProd,652,ACB
8,2.166,1,2 x 4 =,smallFirst,smallProd,652,ACB
56,2.0162,0,4 x 7 =,smallFirst,largeProd,652,ACB
12,1.0993,1,2 x 6 =,smallFirst,smallProd,652,ACB
30,2.8494,1,6 x 5 =,largeFirst,largeProd,652,ACB
27,2.4825,1,3 x 9 =,smallFirst,largeProd,652,ACB
30,1.4823,1,5 x 6 =,smallFirst,largeProd,652,ACB
63,2.2321,1,7 x 9 =,smallFirst,largeProd,652,ACB
56,1.7829,1,8 x 7 =,largeFirst,largeProd,652,ACB
48,1.9496,1,8 x 6 =,largeFirst,largeProd,652,ACB
43,2.2827,0,6 x 7 =,smallFirst,largeProd,652,ACB
16,1.7996,1,2 x 8 =,smallFirst,smallProd,652,ACB
35,2.7661,1,5 x 7 =,smallFirst,largeProd,652,ACB
18,1.5158,1,3 x 6 =,smallFirst,smallProd,652,ACB
21,1.3326,1,7 x 3 =,largeFirst,smallProd,652,ACB
6,1.5909,1,2 x 3 =,smallFirst,smallProd,652,ACB
24,1.8671,1,8 x 3 =,largeFirst,smallProd,652,ACB
28,2.2494,1,7 x 4 =,largeFirst,largeProd,652,ACB
15,1.8996,1,5 x 3 =,largeFirst,smallProd,652,ACB
54,1.8503,1,9 x 6 =,largeFirst,largeProd,652,ACB
18,1.9997,1,9 x 2 =,largeFirst,smallProd,652,ACB
8,2.2669,1,4 x 2 =,largeFirst,smallProd,652,ACB
10,1.2164,1,2 x 5 =,smallFirst,smallProd,652,ACB
72,3.3663,1,9 x 8 =,largeFirst,largeProd,652,ACB
45,1.7835,1,5 x 9 =,smallFirst,largeProd,652,ACB
32,1.6331,1,4 x 8 =,smallFirst,largeProd,652,ACB
12,1.0165,1,6 x 2 =,largeFirst,smallProd,652,ACB
12,1.0672,1,3 x 4 =,smallFirst,smallProd,652,ACB
36,1.8504,1,9 x 4 =,largeFirst,largeProd,652,ACB
24,1.5001,1,4 x 6 =,smallFirst,smallProd,652,ACB
20,1.6166,1,5 x 4 =,largeFirst,smallProd,652,ACB
45,1.983,0,8 x 5 =,largeFirst,largeProd,652,ACB
14,1.6346,1,2 x 7 =,smallFirst,smallProd,652,ACB
42,2.3496,1,6 x 7 =,smallFirst,largeProd,653,CBA
18,2.1655,1,3 x 6 =,smallFirst,smallProd,653,CBA
63,2.1329,1,7 x 9 =,smallFirst,largeProd,653,CBA
15,1.5492,1,5 x 3 =,largeFirst,smallProd,653,CBA
18,1.9488,1,9 x 2 =,largeFirst,smallProd,653,CBA
14,1.9833,1,2 x 7 =,smallFirst,smallProd,653,CBA
12,1.3502,1,6 x 2 =,largeFirst,smallProd,653,CBA
30,1.7662,1,5 x 6 =,smallFirst,largeProd,653,CBA
24,1.6494,1,4 x 6 =,smallFirst,smallProd,653,CBA
16,2.9159,1,2 x 8 =,smallFirst,smallProd,653,CBA
48,1.9659,1,8 x 6 =,largeFirst,largeProd,653,CBA
32,2.1321,1,4 x 8 =,smallFirst,largeProd,653,CBA
56,1.6328,1,8 x 7 =,largeFirst,largeProd,653,CBA
35,2.2829,1,5 x 7 =,smallFirst,largeProd,653,CBA
10,1.283,1,2 x 5 =,smallFirst,smallProd,653,CBA
400,2.8327,0,8 x 5 =,largeFirst,largeProd,653,CBA
12,2.4491,1,3 x 4 =,smallFirst,smallProd,653,CBA
6,2.0165,1,2 x 3 =,smallFirst,smallProd,653,CBA
54,1.9996,1,9 x 6 =,largeFirst,largeProd,653,CBA
45,2.3161,1,5 x 9 =,smallFirst,largeProd,653,CBA
8,1.4328,1,4 x 2 =,largeFirst,smallProd,653,CBA
27,2.1998,1,3 x 9 =,smallFirst,largeProd,653,CBA
36,1.9323,1,9 x 4 =,largeFirst,largeProd,653,CBA
24,1.6329,1,8 x 3 =,largeFirst,smallProd,653,CBA
72,2.216,1,9 x 8 =,largeFirst,largeProd,653,CBA
20,1.3992,1,5 x 4 =,largeFirst,smallProd,653,CBA
21,1.1663,1,7 x 3 =,largeFirst,smallProd,653,CBA
28,1.9652,1,7 x 4 =,largeFirst,largeProd,653,CBA
27,2.1663,1,9 x 3 =,largeFirst,largeProd,653,CBA
3,1.2995,0,8 x 4 =,largeFirst,largeProd,653,CBA
12,1.266,1,4 x 3 =,largeFirst,smallProd,653,CBA
30,3.3826,1,6 x 5 =,largeFirst,largeProd,653,CBA
45,1.4662,1,9 x 5 =,largeFirst,largeProd,653,CBA
28,2.0325,1,4 x 7 =,smallFirst,largeProd,653,CBA
40,1.7159,1,5 x 8 =,smallFirst,largeProd,653,CBA
18,1.4991,1,2 x 9 =,smallFirst,smallProd,653,CBA
16,1.6662,1,8 x 2 =,largeFirst,smallProd,653,CBA
15,1.6829,1,3 x 5 =,smallFirst,smallProd,653,CBA
24,2.483,1,3 x 8 =,smallFirst,smallProd,653,CBA
8,1.3994,1,2 x 4 =,smallFirst,smallProd,653,CBA
6,1.4833,1,3 x 2 =,largeFirst,smallProd,653,CBA
24,1.6164,1,6 x 4 =,largeFirst,smallProd,653,CBA
14,1.2333,1,7 x 2 =,largeFirst,smallProd,653,CBA
10,1.1497,1,5 x 2 =,largeFirst,smallProd,653,CBA
56,1.7664,1,7 x 8 =,smallFirst,largeProd,653,CBA
18,2.3659,1,6 x 3 =,largeFirst,smallProd,653,CBA
36,1.8329,1,4 x 9 =,smallFirst,largeProd,653,CBA
42,1.7659,1,7 x 6 =,largeFirst,largeProd,653,CBA
72,4.2651,1,8 x 9 =,smallFirst,largeProd,653,CBA
35,1.7664,1,7 x 5 =,largeFirst,largeProd,653,CBA
27,1.8827,0,3 x 7 =,smallFirst,smallProd,653,CBA
20,1.6998,1,4 x 5 =,smallFirst,smallProd,653,CBA
63,2.1995,1,9 x 7 =,largeFirst,largeProd,653,CBA
48,1.9661,1,6 x 8 =,smallFirst,largeProd,653,CBA
12,1.6659,1,2 x 6 =,smallFirst,smallProd,653,CBA
54,2.083,1,6 x 9 =,smallFirst,largeProd,653,CBA
12,1.4238,1,2 x 6 =,smallFirst,smallProd,656,BCA
15,1.5101,1,3 x 5 =,smallFirst,smallProd,656,BCA
8,1.26,1,2 x 4 =,smallFirst,smallProd,656,BCA
18,1.4433,1,2 x 9 =,smallFirst,smallProd,656,BCA
36,1.9874,0,9 x 7 =,largeFirst,largeProd,656,BCA
21,1.7745,1,3 x 7 =,smallFirst,smallProd,656,BCA
10,1.3463,1,5 x 2 =,largeFirst,smallProd,656,BCA
24,1.927,1,3 x 8 =,smallFirst,smallProd,656,BCA
35,1.7905,1,7 x 5 =,largeFirst,largeProd,656,BCA
72,1.7139,1,8 x 9 =,smallFirst,largeProd,656,BCA
27,1.8084,1,9 x 3 =,largeFirst,largeProd,656,BCA
