typedNumber,typingRT,answerCorr,participant,group
35,1.2827,1,682,ACB
20,1.1489,1,682,ACB
56,1.4489,1,682,ACB
72,2.3821,1,682,ACB
24,1.6657,1,682,ACB
16,1.2991,1,682,ACB
48,1.4157,1,682,ACB
64,1.6155,1,682,ACB
9,1.1824,1,682,ACB
8,1.1657,1,682,ACB
15,1.0996,1,682,ACB
18,1.1326,1,682,ACB
32,1.3492,1,682,ACB
45,1.2991,1,682,ACB
10,1.2656,1,682,ACB
6,1.233,1,682,ACB
62,1.5329,0,682,ACB
28,3.0489,1,682,ACB
30,1.3494,1,682,ACB
12,1.2157,1,682,ACB
54,1.2991,1,682,ACB
36,1.8821,1,682,ACB
63,1.5991,1,683,CBA
49,1.2162,1,683,CBA
54,1.066,1,683,CBA
35,1.0827,1,683,CBA
42,1.016,1,683,CBA
45,0.9993,1,683,CBA
14,0.9495,1,683,CBA
12,0.7662,1,683,CBA
16,0.9329,1,683,CBA
6,0.7329,1,683,CBA
72,1.4823,1,683,CBA
30,1.2492,1,683,CBA
28,1.0991,1,683,CBA
36,1.6323,1,683,CBA
15,1.0329,1,683,CBA
20,0.9662,1,683,CBA
32,1.2492,1,683,CBA
48,1.4659,1,683,CBA
24,0.9996,1,683,CBA
27,1.4326,1,683,CBA
21,0.8995,1,683,CBA
18,1.0661,1,683,CBA
8,1.0161,1,683,CBA
9,0.8162,1,683,CBA
56,1.2659,1,683,CBA
40,1.0826,1,683,CBA
64,1.3659,1,683,CBA
10,0.9661,1,683,CBA
35,1.4878,1,684,CAB
14,1.0637,1,684,CAB
27,1.7833,1,684,CAB
49,1.4227,1,684,CAB
20,1.2158,1,684,CAB
6,0.9701,1,684,CAB
18,1.1507,1,684,CAB
12,0.95,1,684,CAB
24,1.1199,1,684,CAB
32,1.0963,1,684,CAB
30,1.2158,1,684,CAB
42,1.2797,1,684,CAB
56,1.2868,1,684,CAB
40,1.2647,1,684,CAB
64,1.3281,1,684,CAB
16,1.7998,1,684,CAB
28,1.4646,1,684,CAB
21,1.1517,1,684,CAB
45,1.0876,1,684,CAB
10,1.0636,1,684,CAB
15,1.1031,1,684,CAB
72,1.5191,1,684,CAB
63,1.6478,1,684,CAB
8,0.9177,1,684,CAB
9,0.8338,1,684,CAB
36,1.4001,1,684,CAB
48,2.0318,1,684,CAB
54,1.0321,1,684,CAB
12,1.0499,1,685,BAC
40,1.5332,1,685,BAC
42,1.5001,1,685,BAC
24,1.3,1,685,BAC
28,1.6831,1,685,BAC
16,1.3333,1,685,BAC
63,3.1662,1,685,BAC
72,1.3997,1,685,BAC
18,1.2834,1,685,BAC
45,1.5663,1,685,BAC
64,2.9328,1,685,BAC
32,1.1832,1,685,BAC
35,1.2831,1,685,BAC
36,1.6501,1,685,BAC
9,1.2165,1,685,BAC
8,1.0497,1,685,BAC
27,1.3498000000000001,1,685,BAC
49,1.5829,1,685,BAC
56,1.7498,1,685,BAC
48,1.8667,1,685,BAC
20,1.2832,1,685,BAC
6,1.6002,1,685,BAC
10,1.2335,1,685,BAC
54,1.5997,1,685,BAC
21,1.2169,1,685,BAC
30,1.3668,1,685,BAC
14,1.5664,1,685,BAC
15,1.3999,1,685,BAC
24,1.1168,1,686,BCA
10,0.9176,1,686,BCA
56,1.0509,1,686,BCA
6,0.9334,1,686,BCA
18,0.9008,1,686,BCA
28,0.8176,1,686,BCA
35,1.0484,1,686,BCA
15,0.75,1,686,BCA
21,0.7989,1,686,BCA
45,0.9505,1,686,BCA
54,0.9703,1,686,BCA
48,1.0712,1,686,BCA
8,0.7326,1,686,BCA
42,0.8844,1,686,BCA
9,0.9328,1,686,BCA
64,1.7993,1,686,BCA
32,0.832,1,686,BCA
49,1.218,1,686,BCA
40,0.9509,1,686,BCA
12,0.7151,1,686,BCA
72,1.6169,1,686,BCA
16,0.9653,1,686,BCA
20,0.8831,1,686,BCA
27,1.1333,1,686,BCA
14,0.7837,1,686,BCA
63,1.4518,1,686,BCA
36,1.1328,1,686,BCA
30,0.8659,1,686,BCA
54,1.3155,1,687,ACB
16,1.0487,1,687,ACB
30,1.1315,1,687,ACB
32,0.849,1,687,ACB
10,0.8658,1,687,ACB
35,1.9985,1,687,ACB
14,0.8156,1,687,ACB
36,1.5155,1,687,ACB
40,1.199,1,687,ACB
42,0.9328,1,687,ACB
63,1.499,1,687,ACB
49,1.2652,1,687,ACB
15,0.9664,1,687,ACB
56,1.1826,1,687,ACB
48,1.2321,1,687,ACB
20,0.8827,1,687,ACB
64,1.149,1,687,ACB
24,0.866,1,687,ACB
21,0.8828,1,687,ACB
9,0.8324,1,687,ACB
27,1.0822,1,687,ACB
6,1.0326,1,687,ACB
18,1.2153,1,687,ACB
8,0.8659,1,687,ACB
45,0.9821,1,687,ACB
12,0.7996,1,687,ACB
28,1.1321,1,687,ACB
72,1.3322,1,687,ACB
12,0.9663,1,689,CBA
63,1.6491,1,689,CBA
32,1.0498,1,689,CBA
24,1.1324,1,689,CBA
15,0.9994,1,689,CBA
48,2.3325,1,689,CBA
72,1.7489,1,689,CBA
27,1.2493,1,689,CBA
9,1.1158,1,689,CBA
14,0.934,1,689,CBA
45,1.2994,1,689,CBA
30,1.316,1,689,CBA
40,1.316,1,689,CBA
2,1.0663,0,689,CBA
10,1.2821,1,689,CBA
36,1.5818,1,689,CBA
20,1.2662,1,689,CBA
54,1.2331,1,689,CBA
35,1.2821,1,689,CBA
16,1.1658,1,689,CBA
18,1.1991,1,689,CBA
64,1.5657,1,689,CBA
28,1.4495,1,689,CBA
42,1.2997,1,689,CBA
56,1.4659,1,689,CBA
6,1.3993,1,689,CBA
8,1.0329,1,689,CBA
49,1.3659,1,689,CBA
40,3.6482,1,690,CAB
32,0.8334,1,690,CAB
12,0.8158,1,690,CAB
63,1.4323,1,690,CAB
8,0.8984,1,690,CAB
14,0.9171,1,690,CAB
35,1.082,1,690,CAB
49,1.2167,1,690,CAB
30,1.6324,1,690,CAB
28,1.9488,1,690,CAB
64,1.4159,1,690,CAB
24,1.3829,1,690,CAB
45,1.1986,1,690,CAB
72,1.2654,1,690,CAB
10,1.0157,1,690,CAB
15,0.9823,1,690,CAB
20,2.1319,1,690,CAB
16,2.182,1,690,CAB
27,1.1995,1,690,CAB
56,1.2328,1,690,CAB
21,0.9826,1,690,CAB
18,1.049,1,690,CAB
42,1.0495,1,690,CAB
36,1.2154,1,690,CAB
54,1.0323,1,690,CAB
6,0.933,1,690,CAB
48,1.599,1,690,CAB
9,1.1161,1,690,CAB
49,1.9862,1,692,BCA
64,1.9028,1,692,BCA
18,1.5022,1,692,BCA
36,1.6356,1,692,BCA
24,1.1684,1,692,BCA
20,1.3188,1,692,BCA
15,1.2349,1,692,BCA
6,1.2349,1,692,BCA
42,1.6361,1,692,BCA
72,1.6688,1,692,BCA
16,1.3852,1,692,BCA
21,1.335,1,692,BCA
45,1.3019,1,692,BCA
63,1.7025,1,692,BCA
56,1.6023,1,692,BCA
30,1.4687,1,692,BCA
48,1.7694,1,692,BCA
10,2.3869,1,692,BCA
54,1.2353,1,692,BCA
40,1.3018,1,692,BCA
12,0.9842,1,692,BCA
9,1.0347,1,692,BCA
27,1.6356,1,692,BCA
2,1.3183,0,692,BCA
32,1.736,1,692,BCA
35,1.452,1,692,BCA
14,1.2684,1,692,BCA
8,1.1516,1,692,BCA
42,1.7492,1,694,ACB
64,1.6962,1,694,ACB
45,1.4159,1,694,ACB
48,1.5965,1,694,ACB
