typedAnswer,multiplyRT,multiplyCorr,problem,OperandType,productType,participant,group,mean_blocks,max_digitspan,digitspan_type,median_RT,num_correct_trials,interference_score
40,2.1823,1,5 x 8 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,9
54,2.7824,1,6 x 9 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,13
21,1.1831,1,3 x 7 =,smallFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,13
72,2.5325,1,8 x 9 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,19
45,1.5163,1,9 x 5 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,6
18,1.6,1,2 x 9 =,smallFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,7
36,1.6495,1,4 x 9 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,9
35,2.3659,1,7 x 5 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,7
27,2.8488,1,9 x 3 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,9
14,3.2321,1,7 x 2 =,largeFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,4
32,2.2997,1,8 x 4 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,25
63,1.8331,1,9 x 7 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,17
24,2.7825,1,6 x 4 =,largeFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,12
56,2.8991,1,7 x 8 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,9
6,1.4829,1,3 x 2 =,largeFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,0
48,2.4488,1,6 x 8 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,11
54,2.2992,0,7 x 6 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,22
15,1.8664,1,3 x 5 =,smallFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,2
10,1.1327,1,5 x 2 =,largeFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,0
18,1.6165,1,6 x 3 =,largeFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,8
8,2.166,1,2 x 4 =,smallFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,1
56,2.0162,0,4 x 7 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,17
49,1.7163,1,7 x 7 =,tie,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,7
12,1.0993,1,2 x 6 =,smallFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,3
30,2.8494,1,6 x 5 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,6
27,2.4825,1,3 x 9 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,9
16,1.6497,1,4 x 4 =,tie,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,5
30,1.4823,1,5 x 6 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,6
63,2.2321,1,7 x 9 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,17
56,1.7829,1,8 x 7 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,9
48,1.9496,1,8 x 6 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,11
43,2.2827,0,6 x 7 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,22
16,1.7996,1,2 x 8 =,smallFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,7
35,2.7661,1,5 x 7 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,7
18,1.5158,1,3 x 6 =,smallFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,8
21,1.3326,1,7 x 3 =,largeFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,13
6,1.5909,1,2 x 3 =,smallFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,0
24,1.8671,1,8 x 3 =,largeFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,13
28,2.2494,1,7 x 4 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,17
15,1.8996,1,5 x 3 =,largeFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,2
54,1.8503,1,9 x 6 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,13
18,1.9997,1,9 x 2 =,largeFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,7
8,2.2669,1,4 x 2 =,largeFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,1
10,1.2164,1,2 x 5 =,smallFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,0
72,3.3663,1,9 x 8 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,19
45,1.7835,1,5 x 9 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,6
32,1.6331,1,4 x 8 =,smallFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,25
12,1.0165,1,6 x 2 =,largeFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,3
12,1.0672,1,3 x 4 =,smallFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,10
36,1.8504,1,9 x 4 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,9
24,1.5001,1,4 x 6 =,smallFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,12
20,1.6166,1,5 x 4 =,largeFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,8
45,1.983,0,8 x 5 =,largeFirst,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,9
64,2.3498,1,8 x 8 =,tie,largeProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,19
14,1.6346,1,2 x 7 =,smallFirst,smallProd,652,ACB,10.333333333333334,5,WAIS,1.34975,28,4
42,2.3496,1,6 x 7 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,22
16,1.3996,1,4 x 4 =,tie,smallProd,653,CBA,9,3,WAIS,1.3331,28,5
18,2.1655,1,3 x 6 =,smallFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,8
64,1.5496,1,8 x 8 =,tie,largeProd,653,CBA,9,3,WAIS,1.3331,28,19
63,2.1329,1,7 x 9 =,smallFirst,largeProd,653,CBA,9,3,WAIS,1.3331,28,17
15,1.5492,1,5 x 3 =,largeFirst,smallProd,653,CBA,9,3,WAIS,1.3331,28,2
