participant,median_RT,mean_RT,num_correct_trials,perc_accuracy,verbal_span_wais,verbal_span_egner,verbal_span_mean,mean_blocks,max_vpt_span,n,mean_mult_RT,medium_mult_RT,perc_accuracy_mult
767,1.31625,1.3412071428571428,27,96.42857142857144,6,6,6,9.666666666666666,9,48,2.19006875,1.70785,80
769,1.0261,1.0960285714285714,28,100,8,7,7.5,10.333333333333334,9,55,1.6636436363636364,1.5662,91.66666666666666
770,1.4976,1.624775,28,100,7,8,7.5,10.333333333333334,9,58,2.033901724137931,1.5986,96.66666666666669
771,1.29,1.3618392857142858,28,100,8,8,8,10,9,52,3.260880769230769,2.5652,86.66666666666667
772,0.9415,0.9271428571428572,28,100,8,8,8,11,9,57,1.1733157894736843,1.064,95
773,1.2087,1.1890678571428572,28,100,5,7,6,11,9,54,1.5289,1.409,90
775,1.27435,1.3013285714285714,28,100,7,8,7.5,8.333333333333334,8,57,2.235738596491228,1.7933,95
776,1.2501,1.4717357142857144,27,96.42857142857144,9,9,9,10.333333333333334,9,59,2.326528813559322,1.8173,98.33333333333331
777,1.4751,1.6150714285714287,27,96.42857142857144,9,7,8,10.333333333333334,9,55,2.71326,2.3347,91.66666666666666
778,1.5172,1.6005379310344827,28,100,7,3,5,10.333333333333334,9,55,2.1574763636363636,1.7002,91.66666666666666
779,1.166,1.1792285714285715,28,100,7,8,7.5,7,7,54,2.263416666666666,1.966,90
782,1.01615,1.0655428571428571,28,100,8,7,7.5,9.333333333333334,9,60,1.28421,1.1576499999999998,100
783,3.1161,3.1607,1,3.571428571428571,8,9,8.5,7.333333333333333,7,53,3.2298566037735847,2.616,88.33333333333333
784,0.9085,0.89275,28,100,8,9,8.5,10.666666666666666,9,60,1.51635,1.4085,100
786,1.217,1.2794285714285714,28,100,8,9,8.5,10.333333333333334,9,54,2.066425925925926,1.7585,90
789,1.3165,1.4669785714285717,28,100,9,9,9,14,9,58,1.6570862068965515,1.6166,96.66666666666669
790,0.94835,0.9958821428571428,28,100,9,9,9,10.666666666666666,9,57,2.103852631578947,1.6545,95
792,1.30825,1.3453964285714286,28,100,6,7,6.5,10.333333333333334,9,60,2.0646666666666667,1.8255,100
793,1.22465,1.3263035714285714,28,100,8,9,8.5,11,9,57,1.7368263157894737,1.7158,95
794,1.18745,1.2784607142857145,28,100,9,9,9,9.666666666666666,9,59,1.719149152542373,1.5291,98.33333333333331
795,1.1156,1.1828892857142856,28,100,7,9,8,11.333333333333334,9,60,2.048818333333333,1.5729,100
796,1.308,1.4649285714285714,27,96.42857142857144,8,9,8.5,8.666666666666666,9,59,1.706186440677966,1.435,98.33333333333331
797,1.4321000000000002,1.491132142857143,28,100,8,8,8,9.333333333333334,9,60,1.9379633333333333,1.66705,100
800,1.275,1.306892857142857,28,100,9,7,8,9.333333333333334,9,58,2.000465517241379,1.7335,96.66666666666669
801,1.0835,1.1944035714285717,28,100,7,8,7.5,5.333333333333333,5,56,1.7232214285714285,1.60095,93.33333333333331
802,1.3624999999999998,1.3792357142857143,28,100,7,8,7.5,5.666666666666667,6,53,3.1440037735849056,2.548,88.33333333333333
803,1.3228,1.3766678571428572,27,96.42857142857144,9,9,9,8.666666666666666,9,51,2.350605882352941,2.0638,85
804,1.10815,1.1145964285714285,28,100,7,9,8,9.666666666666666,9,58,1.5047637931034483,1.37345,96.66666666666669
805,1.5896499999999998,1.6745,28,100,5,7,6,9.333333333333334,9,54,2.7285074074074074,2.1483999999999996,90
806,1.15775,1.2643035714285715,28,100,8,6,7,11.333333333333334,9,60,1.74913,1.5004499999999998,100
808,1.06615,1.104342857142857,27,96.42857142857144,6,8,7,11.333333333333334,9,59,1.7101389830508475,1.5332,98.33333333333331
810,1.8843,1.9932962962962963,26,92.85714285714286,5,5,5,8.333333333333334,8,51,3.4619549019607843,3.0841,85
811,1.4831500000000002,1.4934964285714285,28,100,6,6,6,8.333333333333334,8,58,2.5618241379310347,2.2245,96.66666666666669
812,1.09985,1.114882142857143,28,100,8,6,7,8.333333333333334,8,59,1.901127118644068,1.683,98.33333333333331
813,1.531,1.5295071428571427,28,100,9,7,8,10.333333333333334,9,60,1.7561633333333333,1.61515,100
814,1.78255,1.9419,28,100,6,6,6,7,7,39,3.456907692307692,2.9985,65
815,1.30635,1.2745392857142857,28,100,8,5,6.5,10.333333333333334,9,60,1.647615,1.56555,100
816,1.08265,1.176125,28,100,9,9,9,11.333333333333334,9,58,1.7700603448275862,1.6417,96.66666666666669
817,1.35895,1.3861214285714285,28,100,5,6,5.5,7.333333333333333,7,52,2.9295750000000003,2.3167,86.66666666666667
818,1.15795,1.2560392857142857,28,100,7,7,7,8.666666666666666,9,57,2.2415491228070175,1.6998,95
819,1.16275,1.240967857142857,28,100,8,8,8,10.333333333333334,9,60,2.1111483333333334,1.86095,100
820,1.24425,1.3204535714285714,26,92.85714285714286,9,8,8.5,9.333333333333334,9,58,1.5962137931034484,1.53235,96.66666666666669
823,1.28415,1.2769785714285715,28,100,7,9,8,10.333333333333334,9,58,1.8160172413793103,1.63425,96.66666666666669
824,1.3028499999999998,1.3642464285714286,28,100,6,7,6.5,9,9,45,2.6475933333333335,1.9622,75
825,1.4843,1.5142642857142856,28,100,6,6,6,8,8,57,2.269985964912281,2.0352,95
827,1.3994,1.416467857142857,28,100,9,9,9,11.333333333333334,9,57,2.6016929824561403,2.3331,95
828,1.3164,1.3929321428571428,27,96.42857142857144,6,9,7.5,9.666666666666666,9,58,1.8678327586206895,1.6491,96.66666666666669
